image_path,label
training_data\d4005dd9-aligned_solid_99.png,IfcNut
training_data\eb35b719-aligned_solid_0.png,IfcPlate
training_data\0ced8e92-aligned_solid_1.png,IfcPlate
training_data\2d3b013e-aligned_solid_2.png,IfcPlate
training_data\f6d3014b-aligned_solid_3.png,IfcPlate
training_data\87147be4-aligned_solid_4.png,IfcPlate
training_data\d2aea81b-aligned_solid_5.png,IfcAngle
training_data\512096fa-aligned_solid_6.png,IfcBeam
training_data\161e8301-aligned_solid_7.png,IfcAngle
training_data\3a5a79b4-aligned_solid_8.png,IfcPlate
training_data\cdb43b54-aligned_solid_9.png,IfcPlate
training_data\32191c3f-aligned_solid_10.png,IfcColumn
training_data\05043802-aligned_solid_11.png,IfcColumn
training_data\c86de28d-aligned_solid_12.png,IfcColumn
training_data\a911c378-aligned_solid_13.png,IfcPlate
training_data\b16671a6-aligned_solid_14.png,IfcColumn
training_data\c0d13841-aligned_solid_15.png,IfcWasher
training_data\96566b0e-aligned_solid_16.png,IfcPlate
training_data\c411cd04-aligned_solid_17.png,IfcPlate
training_data\ead5fc56-aligned_solid_18.png,IfcPlate
training_data\08a2c638-aligned_solid_19.png,IfcBolt
training_data\0f6c9592-aligned_solid_20.png,IfcPlate
training_data\3d13181e-aligned_solid_21.png,IfcPlate
training_data\555bd079-aligned_solid_22.png,IfcColumn
training_data\2467fd34-aligned_solid_23.png,IfcPlate
training_data\8e1b86e3-aligned_solid_24.png,IfcPlate
training_data\19ff9159-aligned_solid_25.png,IfcPlate
training_data\d196db93-aligned_solid_26.png,IfcColumn
training_data\ac1f762f-aligned_solid_27.png,IfcPlate
training_data\f9be391c-aligned_solid_28.png,IfcPlate
training_data\446c9a1e-aligned_solid_29.png,IfcColumn
training_data\cd10fd91-aligned_solid_30.png,IfcPlate
training_data\8e8ad38f-aligned_solid_31.png,IfcAngle
training_data\2d8701f4-aligned_solid_32.png,IfcPlate
training_data\f20632d5-aligned_solid_33.png,IfcPlate
training_data\6802ef00-aligned_solid_34.png,IfcPlate
training_data\33f0a20e-aligned_solid_35.png,IfcPlate
training_data\d2861e34-aligned_solid_36.png,IfcBolt
training_data\d3ee9739-aligned_solid_37.png,IfcPlate
training_data\0fcc8457-aligned_solid_38.png,IfcBolt
training_data\05822119-aligned_solid_39.png,IfcPlate
training_data\a83c304e-aligned_solid_40.png,IfcWasher
training_data\c4baf007-aligned_solid_41.png,IfcNut
training_data\fb8f91dc-aligned_solid_42.png,IfcPlate
training_data\c55ace21-aligned_solid_43.png,IfcPlate
training_data\5438607e-aligned_solid_44.png,IfcBolt
training_data\5be112f6-aligned_solid_45.png,IfcColumn
training_data\6f17878a-aligned_solid_46.png,IfcPlate
training_data\232bce1f-aligned_solid_47.png,IfcPlate
training_data\0fa87990-aligned_solid_48.png,IfcColumn
training_data\1b569348-aligned_solid_49.png,IfcPlate
training_data\dba80bdf-aligned_solid_50.png,IfcWasher
training_data\8c12d680-aligned_solid_51.png,IfcPlate
training_data\5057dc4d-aligned_solid_52.png,IfcAngle
training_data\3dfaf837-aligned_solid_53.png,IfcPlate
training_data\d68d6ee5-aligned_solid_54.png,IfcPlate
training_data\cf36b87d-aligned_solid_55.png,IfcPlate
training_data\fd515a63-aligned_solid_56.png,IfcAngle
training_data\1de1ec93-aligned_solid_57.png,IfcPlate
training_data\c5ec4ab8-aligned_solid_58.png,IfcPlate
training_data\b91c89bf-aligned_solid_59.png,IfcPlate
training_data\9c67c506-aligned_solid_60.png,IfcPlate
training_data\dd3e1644-aligned_solid_61.png,IfcNut
training_data\aab61ccc-aligned_solid_62.png,IfcBolt
training_data\04490dd8-aligned_solid_63.png,IfcBeam
training_data\624eefbd-aligned_solid_64.png,IfcBeam
training_data\ea1bcb1a-aligned_solid_65.png,IfcAngle
training_data\e5e4b5eb-aligned_solid_66.png,IfcAngle
training_data\c2f8ad06-aligned_solid_67.png,IfcPlate
training_data\cd777dff-aligned_solid_68.png,IfcNut
training_data\206a04c7-aligned_solid_69.png,IfcPlate
training_data\136a9bc0-aligned_solid_70.png,IfcPlate
training_data\44aea439-aligned_solid_71.png,IfcNut
training_data\764e4904-aligned_solid_72.png,IfcPlate
training_data\c21d8e0e-aligned_solid_73.png,IfcNut
training_data\59217e30-aligned_solid_74.png,IfcPlate
training_data\5be022aa-aligned_solid_75.png,IfcPlate
training_data\fdafed58-aligned_solid_76.png,IfcPlate
training_data\b5a124ea-aligned_solid_77.png,IfcPlate
training_data\ba71435b-aligned_solid_78.png,IfcAngle
training_data\da605553-aligned_solid_79.png,IfcPlate
training_data\055e201a-aligned_solid_80.png,IfcPlate
training_data\27503f5c-aligned_solid_81.png,IfcPlate
training_data\8352e847-aligned_solid_82.png,IfcPlate
training_data\dbf7b4d5-aligned_solid_83.png,IfcBolt
training_data\f4f1883a-aligned_solid_84.png,IfcPlate
training_data\ffa929bc-aligned_solid_85.png,IfcPlate
training_data\7d783d21-aligned_solid_86.png,IfcPlate
training_data\5030c5f5-aligned_solid_87.png,IfcAngle
training_data\8d60fb1f-aligned_solid_88.png,IfcNut
training_data\0d1d7bac-aligned_solid_89.png,IfcNut
training_data\d134d6ce-aligned_solid_90.png,IfcAngle
training_data\dbaf2eb7-aligned_solid_91.png,IfcPlate
training_data\c8d09a23-aligned_solid_92.png,IfcAngle
training_data\15931dae-aligned_solid_93.png,IfcPlate
training_data\dc63536b-aligned_solid_94.png,IfcPlate
training_data\0aa24525-aligned_solid_95.png,IfcPlate
training_data\4c8c05ee-aligned_solid_96.png,IfcAngle
training_data\86572017-aligned_solid_97.png,IfcColumn
training_data\da048ca7-aligned_solid_98.png,IfcPlate
training_data\dc52dd3f-aligned_solid_199.png,IfcBeam
training_data\4cfa72d3-aligned_solid_100.png,IfcPlate
